Name	Code	Sector
LS	006260	Financial Services
고려아연	010130	Basic Materials
한진	002320	Industrials
영풍	000670	Basic Materials
에프앤에프홀딩스	007700	Financial Services
아남전자	008700	Technology
한성기업	003680	Consumer Defensive
대한유화	006650	Basic Materials
원림	005820	Basic Materials
퍼스텍	010820	Industrials
금호전기	001210	Consumer Cyclical
키다리스튜디오	020120	Communication Services
한섬	020000	Consumer Cyclical
금호석유화학	011780	Basic Materials
참엔지니어링	009310	Technology
디엔오토모티브	007340	Consumer Cyclical
대한항공	003490	Industrials
한화솔루션	009830	Basic Materials
방림	003610	Consumer Cyclical
하이트진로홀딩스	000140	Financial Services
케이씨그린홀딩스	009440	Technology
미래아이앤지	007120	Financial Services
LS네트웍스	000680	Consumer Cyclical
엔아이스틸	008260	Basic Materials
두산	000150	Industrials
팜젠사이언스	004720	Healthcare
샘표	007540	Financial Services
지투알	035000	Communication Services
세방	004360	Industrials
대원전선	006340	Financial Services
특수건설	026150	Industrials
원일특강	012620	Basic Materials
광진실업	026910	Basic Materials
클라우드에어	036170	Consumer Cyclical
제이에스티나	026040	Consumer Cyclical
피엔풍년	024940	Basic Materials
주성엔지니어링	036930	Technology
제이스코홀딩스	023440	Basic Materials
씨제이	001040	Financial Services
케이티알파	036030	Communication Services
삼지전자	037460	Technology
파워넷	037030	Technology
지더블유바이텍	036180	Financial Services
유니셈	036200	Technology
동진쎄미켐	005290	Technology
다우데이타	032190	Technology
대림제지	017650	Basic Materials
네이처셀	007390	Healthcare
한글과컴퓨터	030520	Technology
아진산업	013310	Industrials
대원산업	005710	Consumer Cyclical
코웰패션	033290	Industrials
세원물산	024830	Consumer Cyclical
제이엠아이	033050	Communication Services
카카오	035720	Communication Services
코센	009730	Industrials
아난티	025980	Consumer Cyclical
골드앤에스	035290	Consumer Defensive
네패스	033640	Technology
솔본	035610	Real Estate
엠에스씨	009780	Basic Materials
한국팩키지	037230	Consumer Cyclical
인지디스플레이	037330	Consumer Cyclical
양지사	030960	Consumer Cyclical
삼일기업공사	002290	Industrials
대양제지공업	006580	Basic Materials
대주산업	003310	Basic Materials
씨앤에이치	023460	Financial Services
한국캐피탈	023760	Financial Services
효성	004800	Financial Services
광림	014200	Industrials
에이프로젠메디신	007460	Healthcare
동화약품	000020	Healthcare
E1	017940	Financial Services
씨아이테크	004920	Communication Services
호텔신라	008770	Consumer Cyclical
엠벤처투자	019590	Financial Services
한국프랜지공업	010100	Consumer Cyclical
대동금속	020400	Industrials
삼화콘덴서공업	001820	Technology
현대그린푸드	005440	Consumer Cyclical
푸드웰	005670	Consumer Defensive
현대코퍼레이션	011760	Consumer Cyclical
일정실업	008500	Financial Services
신라섬유	001000	Real Estate
케이티앤지	033780	Real Estate
율촌화학	008730	Consumer Cyclical
영신금속공업	007530	Consumer Cyclical
한국주강	025890	Financial Services
케이씨티시	009070	Industrials
계룡건설산업	013580	Industrials
신라교역	004970	Consumer Defensive
신대양제지	016590	Basic Materials
엘에스일렉트릭	010120	Industrials
대한전선	001440	Industrials
삼진	032750	Financial Services
이스타코	015020	Real Estate
화승코퍼레이션	013520	Consumer Cyclical
동방	004140	Industrials
한국전력공사	015760	Utilities
원풍	008370	Basic Materials
우리종합금융	010050	Financial Services
유한양행	000100	Healthcare
삼천리	004690	Utilities
자화전자	033240	Financial Services
코오롱	002020	Financial Services
삼일제약	000520	Healthcare
한국선재	025550	Industrials
지에스건설	006360	Industrials
종근당홀딩스	001630	Healthcare
금호건설	002990	Consumer Cyclical
한국쉘석유	002960	Energy
대륙제관	004780	Basic Materials
현대제철	004020	Basic Materials
신풍제약	019170	Healthcare
한미사이언스	008930	Financial Services
이화전기공업	024810	Industrials
에스엠벡셀	010580	Industrials
태평양물산	007980	Consumer Cyclical
SKC	011790	Industrials
포스코홀딩스	005490	Basic Materials
체시스	033250	Consumer Cyclical
아이에스동서	010780	Basic Materials
삼영전자공업	005680	Industrials
일신방직	003200	Basic Materials
메리츠증권	008560	Financial Services
코오롱글로벌	003070	Industrials
피에스텍	002230	Technology
센트럴인사이트	012600	Financial Services
와이지-원	019210	Industrials
남양유업	003920	Consumer Defensive
현대약품	004310	Healthcare
삼화페인트공업	000390	Basic Materials
에스케이하이닉스	000660	Technology
LG	003550	Financial Services
한국조선해양	009540	Industrials
한국전자홀딩스	006200	Technology
쌍용자동차	003620	Consumer Cyclical
해성산업	034810	Real Estate
국도화학	007690	Basic Materials
조일알미늄	018470	Basic Materials
오리엔트바이오	002630	Industrials
세아베스틸지주	001430	Basic Materials
삼영무역	002810	Healthcare
KPX케미칼	025000	Basic Materials
BYC	001460	Industrials
티케이지애강	022220	Basic Materials
대웅	003090	Healthcare
유니슨	018000	Utilities
디아이동일	001530	Basic Materials
